AA0;а;;;а;a;AA;?;[??] — долгий гласный звук. Примерно похож на ударный звук [a] в русском слове банка.;balm, bot, odd
AA1;А;;;э;@;AE;?;[?] — полудолгий гласный звук. Произносится примерно как широкий звук [э] в русском слове этот.;bat, at
AA2;А;;;a;A;AH;?;[?] — краткий гласный звук. Этот звук примерно похож на первый предударный русский звук [а] в словах батон, какой, сады, но английский [?] более краткий.;butt, hut
AE0;э;;;о;c;AO;?;[??] — долгий гласный звук. Произносится примерно как протяжный звук [о] в русском слове торт.;story, ought
AE1;Э;;;оу;W;AW;a?;[??] — дифтонг. Примерно похож на русское [оу] как в слове клоун.;bout, cow
AE2;э;;;ай;Y;AY;a?;[a?] — дифтонг. Произносится примерно как [ай] в русском слове байдарка.;bite, comma, hide
AH0;a;;;e;E;EH;?;[e] — краткий гласный звук. Произносится кратко, примерно как русский звук [э] в словах эти, шесть, но не как в словах этот, эхо.;bet, letter, ed
AH1;A;;;r;R;ER;?;[??] — долгий гласный звук. Произносится примерно как долгий звук в русском слове мёд, как что-то среднее между русскими звуками [о] и [э].;bird, hurt
AH2;a;;;ей;e;EY;e?;[e?] — дифтонг. Произносится примерно как [ей] в русском слове лей.;bait, ate
AO0;о;;;и;I;IH;?;"[?] — краткий гласный звук. Произносится примерно как краткий звук [и] в русском слове игла.
";bit,it,roses, rabbit,
AO1;О;;;i;i;IY;i;[i?] — долгий гласный звук. Произносится примерно как протяжный звук [и] в русском слове ива.;beat,eat
AO2;о;;;оу;o;OW;o?;[??] — дифтонг. Примерно похож на русское [оу] как в слове клоун.;boat, oat
AW0;оу;;;ой;O;OY;??;[??] — дифтонг. Произносится примерно как [ой] в русском слове бой.;boy, toy
AW1;Оу;;;у;U;UH;?;[?] — краткий гласный звук. Произносится со слабым округлением губ, примерно как в русском слове тук.;book, hood
AW2;оу;;;u;u;UW;u;[u?] — долгий гласный звук. Произносится примерно как протяжный звук [у] со значительным округлением губ.;dude, boot, two
AY0;ай;;;б;b;B;b;[b] — звонкий согласный звук. Похож на русский звук [б].;buy, be,butter, bottle
AY1;Ай;;;ч;C;CH;t?;[t?] — глухой согласный звук. Произносится примерно как русский звук [ч], но твёрже. ;China, cheese
AY2;ай;;;д;d;D;d;[d] — звонкий согласный звук. Произносится примерно как русский звук [д].;die, dee
B;б;;;s;D;DH;?;[?] — звонкий межзубной согласный звук. В русском языке подобного звука нет. Отдаленно напоминает русское [вз].;thy, thee
CH;ч;;;ф;f;F;f;[f] — глухой согласный звук. Похож на русский звук [ф].;fight, fee
D;д;;;г;g;G;?;[?] — звонкий согласный звук. Произносится почти так же, как русский звук [г], но менее напряженно. ;guy, green
DH;s;;;h;h;HH;h;h] — глухой согласный звук. Такого звука в русском языка нет. При этом [h] примерно напоминает русский звук [х]. ;high, he
EH0;e;;;j;J;JH;d?;[d?] — звонкий согласный звук. Подобного звука в русском языке нет. При этом [d?] слегка напоминает русское [дж], но произносится как один единый звук.;jive,it
EH1;E;;;к;k;K;k;[k] — глухой согласный звук. Произносится почти так же, как русский звук [к]. ;kite, key
EH2;e;;;л;l;L;l;[l] — согласный звук. Произносится примерно как русский звук [л]. ;lie, lee
ER0;r;;;м;m;M;m;[m] — губно-губной согласный звук. Произносится примерно как русский звук [м], но более напряженно.;my, me
ER1;R;;;н;n;N;n;[n] — носовой согласный звук. Произносится примерно как русский звук [н]. ;nigh,button, knee, winner
ER2;r;;;n;G;NG;?;[?] — носовой согласный звук. Похож на носовой звук [н].;sing, ping
EY0;ей;;;п;p;P;p;[p] — глухой согласный звук. Похож на русский звук [п]. ;pie, pee
EY1;Ей;;;р;r;R;?;[r] — согласный звук. Произносится примерно как русский звук [р].;rye, read
EY2;ей;;;с;s;S;s;[s] — глухой согласный звук. Произносится примерно как русский звук [с], но энергичнее. ;sigh, sea
F;ф;;;Ш;S;SH;?;[?] — глухой согласный звук. Произносится примерно как русский звук [ш], но чуть мягче.;shy, she, 
G;г;;;т;t;T;t;[t] — глухой согласный звук. Произносится примерно как русский звук [т]. Но в отличии от русского [т], английский согласный [t] сильнее и произносится с придыханием.;tie, tea
HH;h;;;t;T;TH;?;[?] — глухой межзубной согласный звук. В русском языке подобного звука нет. Отдаленно напоминает русский звук [с]. ;thigh, theta
IH0;и;;;в;v;V;v;[v] — звонкий согласный звук. Похож на русский звук [в].;vie, vee
IH1;И;;;w;w;W;w;[w] — губно-губной согласный звук. Подобного звука в русском языке нет. Очень отдаленно напоминает звук [у].;wise, we, why
IH2;и;;;й;y;Y;j;[j] — согласный звук. Произносится примерно как русский звук [й].;yacht, yield
IY0;i;;;з;z;Z;z;[z] — звонкий согласный звук. Произносится примерно как русский звук [з]. ;zoo. Zee
IY1;I;;;ж;Z;ZH;?;[?] — звонкий согласный звук. Произносится примерно как русский звук [ж], но чуть мягче. ;pleasure, seizure
IY2;i;;;;;;;;
JH;j;;;;;;;;
K;к;;;;;;;;
L;л;;;;;;;;
M;м;;;;;;;;
N;н;;;;;;;;
NG;n;;;;;;;;
OW0;оу;;;;;;;;
OW1;Оу;;;;;;;;
OW2;оу;;;;;;;;
OY0;ой;;;;;;;;
OY1;Ой;;;;;;;;
OY2;ой;;;;;;;;
P;п;;;;;;;;
R;р;;;;;;;;
S;с;;;;;;;;
SH;Ш;;;;;;;;
T;т;;;;;;;;
TH;t;;;;;;;;
UH0;у;;;;;;;;
UH1;У;;;;;;;;
UH2;у;;;;;;;;
UW0;u;;;;;;;;
UW1;U;;;;;;;;
UW2;u;;;;;;;;
V;в;;;;;;;;
W;w;;;;;;;;
Y;й;;;;;;;;
Z;з;;;;;;;;
ZH;ж;;;;;;;;
